Date,Price,Volume,Ticker
2023-05-23,2087.94,,AGG
2023-05-22,2086.2,,AGG
2023-05-19,2087.18,,AGG
2023-05-18,2092.61,,AGG
2023-05-17,2102.59,,AGG
2023-05-16,2106.31,,AGG
2023-05-15,2111.23,,AGG
2023-05-12,2116.27,,AGG
2023-05-11,2126.22,,AGG
2023-05-10,2120.61,,AGG
2023-05-09,2107.84,,AGG
2023-05-08,2110.23,,AGG
2023-05-05,2121.07,,AGG
2023-05-04,2127.65,,AGG
2023-05-03,2131.52,,AGG
2023-05-02,2121.8,,AGG
2023-05-01,2101.74,,AGG
2023-04-28,2122.2,,AGG
2023-04-27,2110.45,,AGG
2023-04-26,2119.67,,AGG
2023-04-25,2127.79,,AGG
2023-04-24,2113.32,,AGG
2023-04-21,2104.68,,AGG
2023-04-20,2108.05,,AGG
2023-04-19,2099.61,,AGG
2023-04-18,2101.91,,AGG
2023-04-17,2099.5,,AGG
2023-04-14,2109.56,,AGG
2023-04-13,2119.28,,AGG
2023-04-12,2122.52,,AGG
2023-04-11,2119.01,,AGG
2023-04-10,2116.98,,AGG
2023-04-07,2119.77,,AGG
2023-04-06,2132.95,,AGG
2023-04-05,2133.83,,AGG
2023-04-04,2127.93,,AGG
2023-04-03,2118.68,,AGG
2023-03-31,2109.41,,AGG
2023-03-30,2099.64,,AGG
2023-03-29,2095.7,,AGG
2023-03-28,2095.56,,AGG
2023-03-27,2098.82,,AGG
2023-03-24,2119.13,,AGG
2023-03-23,2117.94,,AGG
2023-03-22,2112.23,,AGG
2023-03-21,2091.05,,AGG
2023-03-20,2098.08,,AGG
2023-03-17,2108.24,,AGG
2023-03-16,2090.71,,AGG
2023-03-15,2100.56,,AGG
2023-03-14,2081.25,,AGG
2023-03-13,2095.09,,AGG
2023-03-10,2078.53,,AGG
2023-03-09,2054.63,,AGG
2023-03-08,2046.66,,AGG
2023-03-07,2048.51,,AGG
2023-03-06,2051.47,,AGG
2023-03-03,2054.52,,AGG
2023-03-02,2039.09,,AGG
2023-03-01,2045.2,,AGG
2023-02-28,2057.16,,AGG
2023-02-27,2055.81,,AGG
2023-02-24,2052.11,,AGG
2023-02-23,2063.65,,AGG
2023-02-22,2056.75,,AGG
2023-02-21,2052.3,,AGG
2023-02-17,2070.62,,AGG
2023-02-16,2066.17,,AGG
2023-02-15,2073.97,,AGG
2023-02-14,2078.23,,AGG
2023-02-13,2085.69,,AGG
2023-02-10,2080.41,,AGG
2023-02-09,2089.51,,AGG
2023-02-08,2097.36,,AGG
2023-02-07,2093.41,,AGG
2023-02-06,2096.65,,AGG
2023-02-03,2110.65,,AGG
2023-02-02,2127.69,,AGG
2023-02-01,2126.2,,AGG
2023-01-31,2111.76,,AGG
2023-01-30,2103.94,,AGG
2023-01-27,2109.97,,AGG
2023-01-26,2111.02,,AGG
2023-01-25,2115.89,,AGG
2023-01-24,2112.52,,AGG
2023-01-23,2103.19,,AGG
2023-01-20,2107.98,,AGG
2023-01-19,2117.8,,AGG
2023-01-18,2122.85,,AGG
2023-01-17,2102.45,,AGG
2023-01-13,2104.91,,AGG
2023-01-12,2112.05,,AGG
2023-01-11,2096.7,,AGG
2023-01-10,2084.26,,AGG
2023-01-09,2093.08,,AGG
2023-01-06,2086.58,,AGG
2023-01-05,2064.68,,AGG
2023-01-04,2066.63,,AGG
2023-01-03,2056.08,,AGG
2022-12-30,2048.73,,AGG
2022-12-29,2053.54,,AGG
2022-12-28,2045.74,,AGG
2022-12-27,2049.76,,AGG
2022-12-23,2062.22,,AGG
2022-12-22,2069.36,,AGG
2022-12-21,2071.24,,AGG
2022-12-20,2067.44,,AGG
2022-12-19,2080.7,,AGG
2022-12-16,2093.05,,AGG
2022-12-15,2098.12,,AGG
2022-12-14,2096.71,,AGG
2022-12-13,2090.71,,AGG
2022-12-12,2076.32,,AGG
2022-12-09,2076.4,,AGG
2022-12-08,2089.22,,AGG
2022-12-07,2095.05,,AGG
2022-12-06,2077.51,,AGG
2022-12-05,2069.94,,AGG
2022-12-02,2085.61,,AGG
2022-12-01,2078.64,,AGG
2022-11-30,2058.01,,AGG
2022-11-29,2045.59,,AGG
2022-11-28,2053.46,,AGG
2022-11-25,2054.04,,AGG
2022-11-23,2053.25,,AGG
2022-11-22,2042.44,,AGG
2022-11-21,2032.74,,AGG
2022-11-18,2032.61,,AGG
2022-11-17,2035.55,,AGG
2022-11-16,2044.91,,AGG
2022-11-15,2032.53,,AGG
2022-11-14,2019.27,,AGG
2022-11-10,2022.98,,AGG
2022-11-09,1983.78,,AGG
2022-11-08,1980.77,,AGG
2022-11-07,1972.24,,AGG
2022-11-04,1977.76,,AGG
2022-11-03,1978.65,,AGG
2022-11-02,1987.15,,AGG
2022-11-01,1989.17,,AGG
2022-10-31,1985.01,,AGG
2022-10-28,1993.35,,AGG
2022-10-27,1998.11,,AGG
2022-10-26,1987.58,,AGG
2022-10-25,1977.76,,AGG
2022-10-24,1958.94,,AGG
2022-10-21,1960.94,,AGG
2022-10-20,1959.99,,AGG
2022-10-19,1972.04,,AGG
2022-10-18,1988.38,,AGG
2022-10-17,1984.33,,AGG
2022-10-14,1982.1,,AGG
2022-10-13,1990.31,,AGG
2022-10-12,2000.08,,AGG
2022-10-11,1997.94,,AGG
2022-10-07,2005.95,,AGG
2022-10-06,2014.93,,AGG
2022-10-05,2022.77,,AGG
2022-10-04,2033.92,,AGG
2022-10-03,2028.43,,AGG
2022-09-30,2011.06,,AGG
2022-09-29,2017.22,,AGG
2022-09-28,2027.13,,AGG
2022-09-27,1997.38,,AGG
2022-09-26,2005.2,,AGG
2022-09-23,2031.24,,AGG
2022-09-22,2036.26,,AGG
2022-09-21,2059.22,,AGG
2022-09-20,2052.12,,AGG
2022-09-19,2059.98,,AGG
2022-09-16,2063.53,,AGG
2022-09-15,2065.01,,AGG
2022-09-14,2070.85,,AGG
2022-09-13,2070.11,,AGG
2022-09-12,2080.54,,AGG
2022-09-09,2082.85,,AGG
2022-09-08,2083.96,,AGG
2022-09-07,2090.32,,AGG
2022-09-06,2078.79,,AGG
2022-09-02,2097.46,,AGG
2022-09-01,2089.4,,AGG
2022-08-31,2101.88,,AGG
2022-08-30,2109.95,,AGG
2022-08-29,2109.84,,AGG
2022-08-26,2119.05,,AGG
2022-08-25,2120.37,,AGG
2022-08-24,2109.68,,AGG
2022-08-23,2115.73,,AGG
2022-08-22,2117.93,,AGG
2022-08-19,2126.72,,AGG
2022-08-18,2139.95,,AGG
2022-08-17,2137.29,,AGG
2022-08-16,2148.93,,AGG
2022-08-15,2150.71,,AGG
2022-08-12,2145.78,,AGG
2022-08-11,2137.95,,AGG
2022-08-10,2148.5,,AGG
2022-08-09,2145.24,,AGG
2022-08-08,2150.25,,AGG
2022-08-05,2140.55,,AGG
2022-08-04,2163.7,,AGG
2022-08-03,2158.67,,AGG
2022-08-02,2149.47,,AGG
2022-08-01,2173.58,,AGG
2022-07-29,2162.99,,AGG
2022-07-28,2161.23,,AGG
2022-07-27,2147.34,,AGG
2022-07-26,2142.43,,AGG
2022-07-25,2143.3,,AGG
2022-07-22,2149.25,,AGG
2022-07-21,2132.52,,AGG
2022-07-20,2115.61,,AGG
2022-07-19,2116.3,,AGG
2022-07-18,2121.39,,AGG
2022-07-15,2124.39,,AGG
2022-07-14,2117.44,,AGG
2022-07-13,2124.39,,AGG
2022-07-12,2119.28,,AGG
2022-07-11,2115.86,,AGG
2022-07-08,2105.62,,AGG
2022-07-07,2113.06,,AGG
2022-07-06,2119.03,,AGG
2022-07-05,2132.33,,AGG
2022-07-01,2124.2,,AGG
2022-06-30,2111.4,,AGG
2022-06-29,2102.74,,AGG
2022-06-28,2090.59,,AGG
2022-06-27,2090.15,,AGG
2022-06-24,2097.59,,AGG
2022-06-23,2102.44,,AGG
2022-06-22,2094.6,,AGG
2022-06-21,2077.17,,AGG
2022-06-17,2084.8,,AGG
2022-06-16,2084.38,,AGG
2022-06-15,2079.51,,AGG
2022-06-14,2057.31,,AGG
2022-06-13,2070.1,,AGG
2022-06-10,2104.22,,AGG
2022-06-09,2121.7,,AGG
2022-06-08,2123.12,,AGG
2022-06-07,2129.52,,AGG
2022-06-06,2123.35,,AGG
2022-06-03,2136.69,,AGG
2022-06-02,2140.03,,AGG
2022-06-01,2137.59,,AGG
2022-05-31,2145.05,,AGG
2022-05-27,2155.71,,AGG
2022-05-26,2154.38,,AGG
2022-05-25,2153.09,,AGG
2022-05-24,2146.01,,AGG
2022-05-23,2130.49,,AGG
2022-05-20,2139.01,,AGG
2022-05-19,2131.87,,AGG
2022-05-18,2127.22,,AGG
2022-05-17,2118.74,,AGG
2022-05-16,2130.91,,AGG
2022-05-13,2126.42,,AGG
2022-05-12,2134.75,,AGG
2022-05-11,2131.33,,AGG
