Date,Ticker,Weight,Price
1995-10-12,S5UTIL,0.06225927487043667,118.01
1995-10-12,SPXT,3.8014838672773e-18,746.02
1996-01-12,BCOMTR,0.08566115405319744,127.471
1996-01-12,LBUSTRUU,0.7195471346045409,678.03
1996-01-12,NDDUE15X,2.887365910600459e-17,
1996-01-12,NDDUJN,1.663572708407446e-17,
1996-01-12,NDDUUK,0.18732973871172728,
1996-01-12,NDDUWXUS,-4.334098184510804e-17,
1996-01-12,RU10GRTR,-3.4084605797513046e-18,208.648
1996-01-12,RU10VATR,7.657177843178875e-19,222.17
1996-01-12,RU20GRTR,-2.236166980751353e-18,1366.86
1996-01-12,RU20INTR,2.961227183601034e-18,1120.15
1996-01-12,RU20VATR,2.2090619264392153e-18,1363.31
1996-01-12,RUMCINTR,-2.72405795836983e-18,1399.06
1996-01-12,RUTPINTR,9.425782637045854e-18,1117.35
1996-01-12,S5COND,7.101524229780054e-18,115.805
1996-01-12,S5CONS,-6.627185779317646e-18,134.96
1996-01-12,S5ENRS,4.472333961502706e-18,123.45
1996-01-12,S5FINL,3.6591823321385775e-19,144.2
1996-01-12,S5HLTH,-1.745565497701662e-17,148.25
1996-01-12,S5INDU,1.3484764520288461e-18,133.63
1996-01-12,S5INFT,0.005111695918781457,131.17
1996-01-12,S5MATR,6.4713317170228546e-18,117.47
1996-01-12,S5TELS,7.785926851161529e-18,136.14
1996-01-12,S5UTIL,0.0023502767117530225,124.78
1996-01-12,SPXT,-1.1180834903756764e-18,774.43
1996-04-15,BCOMTR,0.02449847483132065,147.352
1996-04-15,LBUSTRUU,-3.279711571768651e-18,666.94
1996-04-15,NDDUE15X,-6.640738306473715e-18,
1996-04-15,NDDUJN,0.11916532631340965,
1996-04-15,NDDUUK,0.7364403845030205,
1996-04-15,NDDUWXUS,0.08639119286781961,
1996-04-15,RU10GRTR,-4.393092771442483e-18,225.332
1996-04-15,RU10VATR,5.982846379555236e-19,237.573
1996-04-15,RU20GRTR,1.126997041054719e-18,1540.842
1996-04-15,RU20INTR,7.36459123079572e-18,1228.7
1996-04-15,RU20VATR,1.395910297075087e-17,1451.63
1996-04-15,RUMCINTR,-1.0137991549729247e-18,1526.02
1996-04-15,RUTPINTR,1.005326766544722e-18,1192.71
1996-04-15,S5COND,1.1652415854321164e-18,127.6791
1996-04-15,S5CONS,-8.131516293641283e-19,138.74
1996-04-15,S5ENRS,-3.04069257332956e-18,134.7
1996-04-15,S5FINL,1.4397713103571758e-18,157.64
1996-04-15,S5HLTH,1.1466378896728524e-18,156.41
1996-04-15,S5INDU,-9.159626438370034e-19,144.99
1996-04-15,S5INFT,0.00453609765269817,148.2
1996-04-15,S5MATR,0.007989502658250503,132.89
1996-04-15,S5TELS,3.6571577196556605e-19,130.33
1996-04-15,S5UTIL,0.02097902117348103,117.76
1996-04-15,SPXT,-4.375527115336826e-19,831.33
1996-07-16,BCOMTR,0.060640800521752816,149.201
1996-07-16,LBUSTRUU,0.22074728875272198,671.34
1996-07-16,NDDUE15X,0.3013663511720814,
1996-07-16,NDDUJN,4.323256162785949e-18,
1996-07-16,NDDUUK,0.3153959540588252,
1996-07-16,NDDUWXUS,0.06511343142556962,
1996-07-16,RU10GRTR,-5.38712954453735e-19,220.735
1996-07-16,RU10VATR,3.8014838672773e-18,231.362
1996-07-16,RU20GRTR,-3.215337067777324e-18,1373.022
1996-07-16,RU20INTR,1.7618285302889447e-18,1145.61
1996-07-16,RU20VATR,-7.697835424647081e-18,1411.81
1996-07-16,RUMCINTR,1.0062751413381088e-18,1450.51
1996-07-16,RUTPINTR,8.809142651444724e-20,1180.35
1996-07-16,S5COND,2.253107639696439e-18,118.5903
1996-07-16,S5CONS,2.930733997499879e-18,145.58
1996-07-16,S5ENRS,0.003609741272538331,135.5
1996-07-16,S5FINL,-5.251604272976662e-19,154.04
1996-07-16,S5HLTH,4.7027269231558755e-18,156.08
1996-07-16,S5INDU,1.853308088592409e-18,140.37
1996-07-16,S5INFT,-4.089475069343762e-18,143.1
1996-07-16,S5MATR,0.0331264327965107,118.2
1996-07-16,S5TELS,1.9312351197398048e-19,126.32
1996-07-16,S5UTIL,5.251604272976662e-18,121.16
1996-07-16,SPXT,1.2061749168901237e-18,817.82
1996-10-16,BCOMTR,0.10511374082411509,151.915
1996-10-16,LBUSTRUU,0.4297715834954011,691.15
1996-10-16,NDDUE15X,0.1294699412943875,
1996-10-16,NDDUJN,0.07901219340114803,
1996-10-16,NDDUUK,0.1081102055264615,
1996-10-16,NDDUWXUS,-3.165870343657673e-17,
1996-10-16,RU10GRTR,-2.9324280633943878e-18,254.344
1996-10-16,RU10VATR,-7.030373462210693e-19,257.355
1996-10-16,RU20GRTR,2.109112038663208e-18,1598.076
1996-10-16,RU20INTR,-1.5814105125237787e-17,1292.06
1996-10-16,RU20VATR,0.14852233545848686,1546.43
1996-10-16,RUMCINTR,6.674619624363887e-19,1644.76
1996-10-16,RUTPINTR,-1.582257545471033e-18,1335.3101
1996-10-16,S5COND,-1.5161889755851976e-18,132.8033
1996-10-16,S5CONS,-2.749468946787459e-18,156.42
1996-10-16,S5ENRS,-5.009352850061932e-18,145.81
1996-10-16,S5FINL,-3.3406979439709605e-18,179.07
1996-10-16,S5HLTH,-2.964615315390051e-18,177.99
1996-10-16,S5INDU,-3.975972654411686e-18,160.15
1996-10-16,S5INFT,3.2864878353466853e-19,183.52
1996-10-16,S5MATR,7.535205098774256e-18,131.54
1996-10-16,S5TELS,-1.2637731573034161e-18,124.73
1996-10-16,S5UTIL,-6.598386659111e-18,121.98
1996-10-16,SPXT,3.0611770713770414e-18,922.07
1997-01-16,BCOMTR,0.13409382064070707,163.563
1997-01-16,LBUSTRUU,0.61793811374167,703.21
1997-01-16,NDDUE15X,0.024237767252069525,
1997-01-16,NDDUJN,0.01878119145972476,
1997-01-16,NDDUUK,0.0444824863995603,
1997-01-16,NDDUWXUS,4.30970363562988e-18,
1997-01-16,RU10GRTR,1.7618285302889447e-19,274.937
1997-01-16,RU10VATR,4.255493527005605e-18,285.593
1997-01-16,RU20GRTR,2.981555974335137e-19,1627.611
1997-01-16,RU20INTR,-4.6349642873755315e-18,1368.1
1997-01-16,RU20VATR,0.16046662050626845,1698.2
1997-01-16,RUMCINTR,-4.553649124439119e-18,1772.95
1997-01-16,RUTPINTR,-4.607859233063394e-19,1472.71
1997-01-16,S5COND,-2.710505431213761e-20,132.5843
1997-01-16,S5CONS,-6.0986372202309624e-18,174.52
1997-01-16,S5ENRS,5.664956351236761e-18,162.94
1997-01-16,S5FINL,-1.7076184216646695e-18,203.93
1997-01-16,S5HLTH,-1.870248747537495e-18,193.54
1997-01-16,S5INDU,1.9244588561617704e-18,170.46
1997-01-16,S5INFT,-4.54009659728305e-18,214.85
1997-01-16,S5MATR,-2.7376104855258987e-18,139.45
1997-01-16,S5TELS,5.692061405548898e-19,133.99
1997-01-16,S5UTIL,-1.0137290312739466e-17,127.65
1997-01-16,SPXT,-9.75781955236954e-19,1012.6
1997-04-18,BCOMTR,0.08752309921731394,164.178
1997-04-18,LBUSTRUU,0.5630154004078708,706.57
1997-04-18,NDDUE15X,0.09797135353430583,
1997-04-18,NDDUJN,1.5395670849294163e-17,
1997-04-18,NDDUUK,-4.4038936993645583e-17,
1997-04-18,NDDUWXUS,0.22472443075217652,
1997-04-18,RU10GRTR,-3.3635678335468266e-18,272.117
1997-04-18,RU10VATR,-1.7849101781016244e-18,282.561
1997-04-18,RU20GRTR,1.7801244419496376e-17,1414.721
1997-04-18,RU20INTR,-1.8417884405097507e-17,1279.17
1997-04-18,RU20VATR,0.025805779459528055,1692.11
1997-04-18,RUMCINTR,-1.0083080204115191e-17,1702.13
1997-04-18,RUTPINTR,1.0416387668859758e-18,1475.9301
1997-04-18,S5COND,0.00011565995925396941,136.5755
1997-04-18,S5CONS,-1.2500088719105337e-18,184.03
1997-04-18,S5ENRS,-4.138814738521325e-18,156.72
1997-04-18,S5FINL,1.4524497463043115e-18,206.18
1997-04-18,S5HLTH,0.0005677827633385432,197.57
1997-04-18,S5INDU,-2.7786915834677323e-18,170.4
1997-04-18,S5INFT,0.00027649390621241343,203.71
1997-04-18,S5MATR,-1.0767482825496666e-17,133.67
1997-04-18,S5TELS,-2.8921939983998085e-18,128.2
1997-04-18,S5UTIL,8.061530196374397e-17,116.19
1997-04-18,SPXT,-2.0017506125987253e-18,1012.97
1997-07-21,BCOMTR,0.15551029905552083,157.571
1997-07-21,LBUSTRUU,0.7868517151355359,737.77
1997-07-21,NDDUE15X,0.047348715259712695,
1997-07-21,NDDUJN,-2.3960868011929648e-17,
1997-07-21,NDDUUK,1.1817803680091998e-17,
1997-07-21,NDDUWXUS,9.324138683375338e-18,
1997-07-21,RU10GRTR,-2.4665599424045226e-18,331.086
1997-07-21,RU10VATR,-9.784924606681678e-18,331.452
